4/4 22:50:41.846  SPELL_SUMMON,0x0680000000A57395,"Miracelwip",0x514,0x0,0xF13007AC00022070,"Treant",0xa28,0x0,33831,"Force of Nature",0x8
4/4 22:50:41.846  SPELL_SUMMON,0x0680000000A57395,"Miracelwip",0x514,0x0,0xF13007AC00022071,"Treant",0xa28,0x0,33831,"Force of Nature",0x8
4/4 22:50:41.967  SPELL_CAST_FAILED,0x0680000000767E87,"Illiash",0x511,0x0,0x0000000000000000,nil,0x80000000,0x80000000,23922,"Shield Slam",0x1,"Out of range"
4/4 22:50:42.000  SPELL_AURA_APPLIED,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,87173,"Long Arm of the Law",0x2,BUFF
4/4 22:50:42.000  SPELL_CAST_SUCCESS,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,20271,"Judgement",0x2
4/4 22:50:42.184  SPELL_CAST_FAILED,0x0680000000767E87,"Illiash",0x511,0x0,0x0000000000000000,nil,0x80000000,0x80000000,78,"Heroic Strike",0x1,"Not enough rage"
4/4 22:50:42.203  SPELL_CAST_SUCCESS,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1130,"Hunter's Mark",0x40
4/4 22:50:42.226  SWING_DAMAGE,0xF13007AC0002206F,"Treant",0x1114,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1289,-1,1,0,0,0,nil,nil,nil
4/4 22:50:42.226  SWING_DAMAGE,0xF13007AC00022070,"Treant",0x1114,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1035,-1,1,0,0,0,nil,1,nil
4/4 22:50:42.226  SWING_DAMAGE,0xF13007AC00022071,"Treant",0x1114,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1644,-1,1,0,0,0,nil,nil,nil
4/4 22:50:42.226  SPELL_AURA_APPLIED,0x0680000000BD2EF8,"Spatzenhirn",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1130,"Hunter's Mark",0x40,DEBUFF
4/4 22:50:42.405  SPELL_CAST_SUCCESS,0x068000000023AC05,"Delraius",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1490,"Curse of the Elements",0x20
4/4 22:50:42.621  SWING_MISSED,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,0x0680000000767E87,"Illiash",0x511,0x0,ABSORB,21651
4/4 22:50:42.621  SPELL_AURA_APPLIED,0xF140771C500003C7,"WannWolf",0x1112,0x0,0xF140771C500003C7,"WannWolf",0x1112,0x0,61684,"Dash",0x1,BUFF
4/4 22:50:42.621  SPELL_CAST_SUCCESS,0xF140771C500003C7,"WannWolf",0x1112,0x0,0x0000000000000000,nil,0x80000000,0x80000000,61684,"Dash",0x1
4/4 22:50:42.621  SPELL_CAST_START,0x06800000007AD381,"Chimaîra",0x512,0x0,0x0000000000000000,nil,0x80000000,0x80000000,14914,"Holy Fire",0x2
4/4 22:50:42.621  SPELL_CAST_SUCCESS,0x0680000000767E87,"Illiash",0x511,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,23922,"Shield Slam",0x1
4/4 22:50:42.621  SPELL_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,31804,"Judgement of Truth",0x2,6002,-1,2,0,0,0,nil,nil,nil
4/4 22:50:42.621  SPELL_AURA_APPLIED,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,31803,"Censure",0x2,DEBUFF
4/4 22:50:42.621  SPELL_AURA_APPLIED,0x068000000023AC05,"Delraius",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1490,"Curse of the Elements",0x20,DEBUFF
4/4 22:50:42.621  SPELL_AURA_APPLIED,0x06800000002449E3,"Recall",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,34914,"Vampiric Touch",0x20,DEBUFF
4/4 22:50:42.621  SPELL_AURA_APPLIED,0x0680000000767E87,"Illiash",0x511,0x0,0x0680000000767E87,"Illiash",0x511,0x0,57516,"Enrage",0x1,BUFF
4/4 22:50:42.621  SPELL_ENERGIZE,0x0680000000767E87,"Illiash",0x511,0x0,0x0680000000767E87,"Illiash",0x511,0x0,84993,"Shield Specialization",0x1,15,1
4/4 22:50:42.621  SPELL_DAMAGE,0x0680000000767E87,"Illiash",0x511,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,23922,"Shield Slam",0x1,7262,-1,1,0,0,0,nil,nil,nil
4/4 22:50:42.778  SPELL_CAST_SUCCESS,0x06800000002449E3,"Recall",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,2944,"Devouring Plague",0x20
4/4 22:50:42.827  SPELL_PERIODIC_HEAL,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000000767E87,"Illiash",0x511,0x0,77489,"Echo of Light",0x2,54,54,0,nil
